,score,text,cityName
1,0,"Website 

https://t.co/262c9lVuVH",Paris
2,0,RT @smartertrader: Let’s see you own a hotel. You paid if 100m. It makes 2m a yr/ after all expenses. You  say this is great cash flow. You…,Paris
3,0,"<U+30B8><U+30AA><U+30E1><U+30C8><U+30EA><U+30C3><U+30AF><U+67C4><U+306E><U+30AB><U+30FC><U+30DA><U+30C3><U+30C8><U+3068><U+6728><U+306E><U+8ABF><U+548C><U+304C><U+7F8E><U+3057><U+3044><U+87BA><U+65CB><U+968E><U+6BB5><U+3002>

https://t.co/3mL61v02Pg",Paris
4,0,"19<U+5BA4><U+3042><U+308B><U+5BA2><U+5BA4><U+306F><U+30B7><U+30F3><U+30D7><U+30EB><U+306A><U+304C><U+3089><U+3082><U+4E0A><U+54C1><U+3067><U+6D17><U+7DF4><U+3055><U+308C><U+305F><U+30A4><U+30F3><U+30C6><U+30EA><U+30A2><U+3068><U+306A><U+3063><U+3066><U+3044><U+307E><U+3059><U+3002>

<U+914D><U+8272><U+3084><U+67C4><U+7269><U+306E><U+4F7F><U+3044><U+65B9><U+306B><U+30D7><U+30ED><U+306E><U+30BB><U+30F3><U+30B9><U+3092><U+611F><U+3058><U+307E><U+3059><U+3002>

https://t.co/LzQGdQMAmV",Paris
5,0,RT @esquireturkiye: Esquire Ilkbahar 2020 sayisi çikti<U+26A1><U+FE0F> Kapak yildizimiz Burak Deniz’i karantina günlerinden çok önce Monaco Old Town soka…,Paris
6,0,"RT @JulienBrygo: L’an passé, un tiers de l’Hôtel-Dieu était vendu par les Hôpitaux de Paris à un promoteur pour le transformer en boutiques…",Paris
7,0,"<U+304A><U+306F><U+3088><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+0001F31E>

<U+672C><U+65E5><U+306F><U+30D1><U+30EA>1<U+533A><U+306B><U+3042><U+308B><U+30DB><U+30C6><U+30EB>”Hotel La Tamis”<U+306E><U+30A4><U+30F3><U+30C6><U+30EA><U+30A2><U+3092><U+3054><U+7D39><U+4ECB><U+3057><U+307E><U+3059><U+3002>

17<U+4E16><U+671F><U+5F8C><U+534A><U+306B><U+5EFA><U+3066><U+3089><U+308C><U+305F><U+3053><U+306E><U+30DB><U+30C6><U+30EB><U+306F><U+5EFA><U+7269><U+306E><U+69D8><U+3005><U+306A><U+5834><U+6240><U+3067><U+6B74><U+53F2><U+7684><U+306A><U+88C5><U+98FE><U+3092><U+898B><U+308B><U+3053><U+3068><U+304C><U+3067><U+304D><U+307E><U+3059><U+3002>

#<U+6D77><U+5916><U+30A4><U+30F3><U+30C6><U+30EA><U+30A2>… https://t.co/wEaazgMESR",Paris
8,0,"RT @sylviefourcade: #Covid_19 article du 17 mai 2019 ""Quelque 20.000 m2, soit un tiers de la surface de l'Hôtel-Dieu, seront mis à la dispo…",Paris
9,0,"RT @JulienBrygo: L’an passé, un tiers de l’Hôtel-Dieu était vendu par les Hôpitaux de Paris à un promoteur pour le transformer en boutiques…",Paris
10,0,@laurenward_1990 It's so shit <U+2639><U+FE0F> We've already booked flights and hotel for Green Day and FOB as we were meant to b… https://t.co/DHP3dldkhI,Paris
11,0,comerte en Francia en un hotel de París...,Paris
12,0,"RT @adrenaline1001: Wuhan et même l’Italie ont construit d’urgence des hôpitaux..
<U+274C>Or le Val de Grace et l’hôtel Dieu à Paris restent fermé…",Paris
13,0,"RT @JulienBrygo: L’an passé, un tiers de l’Hôtel-Dieu était vendu par les Hôpitaux de Paris à un promoteur pour le transformer en boutiques…",Paris
14,0,Streaming much?  Here are some Interliner staff suggestions that let you travel without leaving the couch!  “The 10… https://t.co/Vq6GYGvNoh,Paris
15,0,RT @smartertrader: Let’s see you own a hotel. You paid if 100m. It makes 2m a yr/ after all expenses. You  say this is great cash flow. You…,Paris
16,0,RT @AnnikaJoeres: Vor 1 Jahr wurde ein Drittel eines Parises Krankenhauses an Immobilieninvestor verkauft. Für startups und Luxusrestaurant…,Paris
17,0,"RT @elegantgolf: <U+0001F440> Le Golf National, France from just £465pp! <U+0001F440>

<U+0001F3E8> 3 nights B&amp;B at 4* Novotel Saint-Quentin in Yvelines
<U+26F3> 2 rounds - L'Alba…",Paris
18,0,"RT @architecturehub: Hôtel de la Païva. Paris, France
https://t.co/TJVfi1uIMq https://t.co/adXpLFOKPK",Paris
